sku,name,brand,price,price_text
0100000079,"MITZUNO CUT OFF WHEEL 14"" - 355*3.0*25.4 (FOR S/S CUTTING GREEN)",NO BRAND,5.0000,$5.0000
010000008,CUT OFF WHEEL 100*1.2*16 - LICON( FOR S/S CUTTING GREEN ),NO BRAND,0.5556,$0.5556
010000009,CUT OFF WHEEL 100*1.2*16 - LICON( FOR S/S CUTTING BLACK ),NO BRAND,0.5093,$0.5093
010000011,CUT OFF WHEEL 100*2*16,NO BRAND,0.5093,$0.5093
010000013,CUT OFF WHEEL 125*2.2*22,NO BRAND,1.0648,$1.0648
0100000179,CUT OFF WHEEL 355*2.7*25.4 - LICON( FOR S/S CUTTING GREEN ),NO BRAND,3.6239,$3.6239
010000023,GRINDING DISC 100*6*16,NO BRAND,0.7870,$0.7870
010000901,SAND PAPER HOLDER,NO BRAND,3.8532,$3.8532
010000905,"POLISHING PAD HOLDER 4"" M10 COP.HEAD",NO BRAND,14.5872,$14.5872
01000092001,"BCL 6""X1"" NON STITCHED POLISHING BUFF - YELLOW CLOTH",BCL,12.0093,$12.0093
01000092002,"BCL 6""X1.5"" NON STITCHED POLISHING BUFF - YELLOW CLOTH",BCL,18.0093,$18.0093
01000092003,"BCL 6""X2"" NON STITCHED POLISHING BUFF - YELLOW CLOTH",BCL,24.0278,$24.0278
01000092011,"BCL 8""X1"" NON STITCHED POLISHING BUFF - YELLOW CLOTH",BCL,18.0093,$18.0093
01000092012,"BCL 8""X1.5"" NON STITCHED POLISHING BUFF - YELLOW CLOTH",BCL,35.0000,$35.0000
01000092013,"BCL 8""X2"" NON STITCHED POLISHING BUFF - YELLOW CLOTH",BCL,45.0000,$45.0000
01000092021,"BCL 6""X1"" NON STITCHED POLISHING BUFF-W  WHITE CLOTH",BCL,27.5463,$27.5463
01000092022,"BCL 6X1.5"" NON STITCHED POLISHING BUFF-W  WHITE CLOTH",BCL,22.0370,$22.0370
01000092031,"BCL 8""X1"" NON STITCHED POLISHING BUFF-W WHITE CLOTH",BCL,55.0000,$55.0000
01000092041,BCL NON WOVEN SCOURING MOP 8” X 2” - COARSE,NO BRAND,49.8611,$49.8611
01000092042,BCL NON WOVEN SCOURING MOP 8” X 2” - MEDIUM,NO BRAND,49.8611,$49.8611
01000092043,BCL NON WOVEN SCOURING MOP 8” X 2” - FINE,NO BRAND,49.8611,$49.8611
01000092101,"BCL 6""X1"" SCOURING MOP C",BCL,22.0370,$22.0370
01000092102,"BCL 6""X2"" SCOURING MOP C",BCL,43.2870,$43.2870
01000092111,"BCL 6""X1"" SCOURING MOP T",BCL,27.0833,$27.0833
01000092112,"BCL 6""X2"" SCOURING MOP T",BCL,43.2870,$43.2870
01000092121,"BCL 6""X1"" SCOURING MOP F",BCL,27.0833,$27.0833
01000092122,"BCL 6""X2"" SCOURING MOP F",BCL,43.2870,$43.2870
01000092131,"BCL 6""X1"" SCOURING MOP X-C(CL71)",BCL,22.0370,$22.0370
01000092132,"BCL 6""X2"" SCOURING MOP X-C(CL71)",BCL,45.0000,$45.0000
01000092201,"BCL FLAP DISC ZIRCONIA TYPE 4""* 5/8"" - GRIT:40",BCL,3.5185,$3.5185
01000092202,"BCL FLAP DISC ZIRCONIA TYPE 4""* 5/8"" - GRIT:60",BCL,3.5185,$3.5185
01000092205,"BCL FLAP DISC ZIRCONIA TYPE 4""* 5/8"" - GRIT:120",BCL,3.5185,$3.5185
01000092208,"BCL FLAP DISC ZIRCONIA TYPE 4""* 5/8"" - GRIT:240",BCL,3.5185,$3.5185
01000092209,"BCL FLAP DISC ZIRCONIA TYPE 4""* 5/8"" - GRIT:320",BCL,3.5185,$3.5185
01000092212,"BCL FLAP DISC CERAMIC TYPE 4""* 5/8"" - GRIT:60",BCL,5.0000,$5.0000
01000092213,"BCL FLAP DISC CERAMIC TYPE 4""* 5/8"" - GRIT:80",BCL,5.0000,$5.0000
01000092215,"BCL FLAP DISC CERAMIC TYPE 4""* 5/8"" - GRIT:120",BCL,5.0000,$5.0000
01000092222,"BCL FIBER DISC CERAMIC TYPE 4""* 5/8"" - GRIT:60",BCL,2.0093,$2.0093
01000092223,"BCL FIBER DISC CERAMIC TYPE 4""* 5/8"" - GRIT:80",BCL,2.0093,$2.0093
01000092501,BCL METAL POLISHING COMPOUND-BLUE HUBBLE,BCL,28.0000,$28.0000
010000998,"BCL POLISHING BUFF 4"" X 2 PLY-STITCHES",BCL,22.4299,$22.4299
010001000,"BCL POLISHING SISAL BUFF 6"" X 1PLY STITCHES - PM6X1P",BCL,12.0560,$12.0560
010001001,"BCL POLISHING SISAL BUFF 6"" X 2PLY STITCHES - PM6X2P",BCL,20.0040,$20.0040
0100010024,"BCL POLISHING SISAL BUFF 6"" X 4PLY STITCHES - PM6X4P",BCL,60.0020,$60.0020
010001003,"BCL POLISHING SISAL BUFF 8"" X 2 PLY-STITCHES - PM8X2P",BCL,18.0374,$18.0374
010001004,"BCL POLISHING SISAL BUFF 8"" X 3 PLY-STITCHES - PM8X3P",BCL,25.0000,$25.0000
010001005,"BCL POLISHING SISAL BUFF 8"" X 1PLY-STITCHES - PM8X1P",BCL,10.0000,$10.0000
010001201,"BCL FLAP WHEEL 6""X1"" G60 - FW6X1P60",BCL,17.3832,$17.3832
010001202,"BCL FLAP WHEEL 6""X1"" G80 - FW6X1P80",BCL,17.3832,$17.3832
010001203,"BCL FLAP WHEEL 6""X1"" G120 - FW6X1P120",BCL,17.3832,$17.3832
010001204,"BCL FLAP WHEEL 6""X1"" G150 - FW6X1P150",BCL,17.3832,$17.3832
010001205,"BCL FLAP WHEEL 6""X1"" G180 - FW6X1 P180",BCL,17.3832,$17.3832
010001206,"BCL FLAP WHEEL 6""X1"" G240 - FW6X1P240",BCL,21.4953,$21.4953
010001207,"BCL FLAP WHEEL 6""X1"" G320 - FW6X1P320",BCL,17.3832,$17.3832
010001212,"FLAP WHEEL 8""X1"" G120",NO BRAND,40.0000,$40.0000
010001239,"BCL FLAP WHEEL 6""X1"" #60 HS300",BCL,20.0000,$20.0000
010001240,"BCL FLAP WHEEL 6""X1"" #80 HS300",BCL,20.0000,$20.0000
010001301,POLISHING COMPOUND-GREEN,NO BRAND,9.1204,$9.1204
010001302,POLISHING COMPOUND-WHITE,NO BRAND,9.1204,$9.1204
010001303,POLISHING COMPOUND-BROWN,NO BRAND,9.1204,$9.1204
010001307,POLISHING 99 GREEN WAX COMPOUND HIGH GLOSS S/S,NO BRAND,11.9907,$11.9907
010001308,POLISHING 101 POLAC WAX COMPOUND  ACRYLIC / PLASTIC HIGH GLOSS,NO BRAND,11.9907,$11.9907
010001310,POLISHING 98 BLACK WAX COMPOUND,NO BRAND,10.0000,$10.0000
010001311,POLISHING 97 WHITE WAX COMPOUND,NO BRAND,15.0000,$15.0000
010001312,POLISHING 100 GREEN WAX COMPOUND-BBB,NO BRAND,16.0648,$16.0648
010001504,NEW LONGER GRINDING DISC 60GC,NO BRAND,4.6759,$4.6759
010001505,NEW LONGER GRINDING DISC 80GC,NO BRAND,4.6759,$4.6759
010001506,NEW LONGER GRINDING DISC 120GC,NO BRAND,4.6759,$4.6759
010001541,PVA GRINDING WHEEL 36 HI-LAP,NO BRAND,10.0000,$10.0000
010001542,PVA GRINDING WHEEL 46 HI-LAP,NO BRAND,10.0000,$10.0000
010001543,PVA GRINDING WHEEL 60 HI-LAP,NO BRAND,10.0000,$10.0000
010001544,PVA GRINDING WHEEL 80 HI-LAP,NO BRAND,10.0000,$10.0000
010001545,PVA GRINDING WHEEL 120 HI-LAP,NO BRAND,10.0000,$10.0000
